language	lang_id	gloss	transcription	translation	comment
Painara		1. Tangan	limag	hand	
Painara		2. Kiri	heken	left	
Painara		3. Kanan	wanan	right	
Painara		4. Kaki	lig(a)	foot	
Painara		5. Kaki	l. əpak	footprint	
Painara		6. Berjalan	wage	walk	
Painara		7. Jalan	lalan	road	
Painara		8. Datang	oliŋ	come	
Painara		9. Balik	tue	return	
Painara		10. Berenang	naŋ	swim	
Painara		11. Mencuci	baha	wash	
Painara		12. Hapus	pohok	wipe	
Painara		13. Gosok	dore	rub	
Painara		14. Kotor	milan	dirty	
Painara		15. Debu	əmut	dust	
Painara		16. Kulit	kamak	skin	
Painara		17. Punggung	wuhuk	back	
Painara		18. Perut	taih	belly	
Painara		19. Tulang	riuk	bone	
Painara		20. Isi perut	tai oray	stomach	
Painara		21. Hati	oray	liver	
Painara		22. Jantung	puon	heart	
Painara		23. Tahu	ketan	know	ketan, metan: different inflections
Painara		24. Pikir	gənuan	think	
Painara		25. Takut	takut	scared	
Painara		26. Darah	həmein	blood	
Painara		27. Kepala	ulug	head	
Painara		28. Leher	wuleg	neck	
Painara		29. Rambut	latar	hair	
Painara		30. Hidung	nijug	nose	
Painara		31. Bernapas	ehe naig	breathe	
Painara		32. Membaui	hodam	smell	
Painara		33. Mulut	nuhag	mouth	
Painara		34. Gigi	paig	tooth	
Painara		35. Lidah	eweləg	tongue	
Painara		36. Tertawa	gekay	laugh	
Painara		37. Menangis	giar	cry	
Painara		38. Muntah	luag	vomit	
Painara		39. Meludah	təmij	spit	
Painara		40. Makan	ka	eat	ka, ga: different inflections
Painara		41. Masak	giu	cook	
Painara		42. Minum	ken	drink	ken, men: different inflections
Painara		43. Gigit	gik	bite	
Painara		44. Menetek	tuhuŋ	suck	
Painara		45. Telinga	kiŋag	ear	
Painara		46. Dengar	dəŋa	listen	
Painara		47. Mata	matag	eye	
Painara		48. Melihat	bəlele	see	
Painara		49. Tidur	galek(a)	sleep	
Painara		50. Rebah	galek(a)	lie down	
Painara		51. Duduk	tobe	sit	
Painara		52. Berdiri	dir	stand	
Painara		53. Orang	atawiha	person	
Painara		54. Laki-laki	lakin	man	
Painara		55. Wanita	ronen	woman	
Painara		56. Anak	anaken	child	
Painara		57. Suami	lakin	husband	
Painara		58. Isteri	ronen	wife	
Painara		59. Ibu	inan	mother	
Painara		60. Bapak	amay	father	
Painara		61. Kakak	kakay	older sibling	
Painara		62. Adik	wajig	younger sibling	
Painara		63. Nama	nayan	name	
Painara		64. Bilang	gəpar	say	
Painara		65. Tali	tali	rope	
Painara		66. Mengikat 	puinəŋ	tie	
Painara		67. Menjahit 	hau	sew	
Painara		68. Pakaian 	alelolo	clothing	
Painara		69. Berburu	welok	hunt	
Painara		70. Menembak 	pahak	shoot	
Painara		71. Menikam 	həgat	stab	
Painara		72. Bertinju 	hadok	fist	
Painara		73. berkelahi 	punu	fight	
Painara		74. Membunuh 	həbal	kill	
