Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	sout2896-lerek	ˈkələm ˈleva	sky	Lerek Lamaholot	Austronesian	8Lembata		ˈk ə l ə m _ ˈl e v a	9189.0			
1.0	sout2896-lerek	ˈluvak ləˈd͡ʒau	sun	Lerek Lamaholot	Austronesian	8Lembata		ˈl u v a k _ l ə ˈd͡ʒ a u	9906.0			
2.0	sout2896-lerek	ˈvulan dʒ͡e kəˈləm	moon	Lerek Lamaholot	Austronesian	8Lembata		ˈv u l a n _ dʒ͡e _ k ə ˈl ə m	10026.0			
3.0	sout2896-lerek	ˈtonar	star	Lerek Lamaholot	Austronesian	8Lembata		ˈt o n a r	9914.0			
4.0	sout2896-lerek	buˈkənən	night	Lerek Lamaholot	Austronesian	8Lembata		- b u ˈk ə n ə n	928.0			
5.0	sout2896-lerek	laˈjonan	day	Lerek Lamaholot	Austronesian	8Lembata		l a ˈj o n a n	10059.0			
6.0	sout2896-lerek	ˈtunan	year	Lerek Lamaholot	Austronesian	8Lembata		ˈt u n a n	171.0			
7.0	sout2896-lerek	baeˈnan	morning	Lerek Lamaholot	Austronesian	8Lembata		b a e ˈn a n	9844.0			
8.0	sout2896-lerek	ɡaro	yesterday	Lerek Lamaholot	Austronesian	8Lembata		- - ɡ a r o	9741.0			
9.0	sout2896-lerek	ˈdʒ͡ama ˈdʒ͡ua be	day before yesterday	Lerek Lamaholot	Austronesian	8Lembata		ˈdʒ͡a - m a _ ˈdʒ͡u a - _ b e	9791.0			
10.0	sout2896-lerek	baˈen	tomorrow	Lerek Lamaholot	Austronesian	8Lembata		- - b a ˈe n -	2546.0			
11.0	sout2896-lerek	dʒ͡əm ˈdʒ͡ua	day after tomorrow	Lerek Lamaholot	Austronesian	8Lembata		dʒ͡ə m _ ˈdʒ͡u a	10055.0			
12.0	sout2896-lerek	ekan buˈjak	twilight; dawn	Lerek Lamaholot	Austronesian	8Lembata		e k a n _ b u ˈj a k	9734.0			
13.0	sout2896-lerek	ˈkovar	cloud	Lerek Lamaholot	Austronesian	8Lembata		ˈk o v a r	9184.0			
14.0	sout2896-lerek	ˈaŋin	wind	Lerek Lamaholot	Austronesian	8Lembata		- ˈa ŋ i n	102.0			
15.0	sout2896-lerek	ˈudʒ͡an	rain	Lerek Lamaholot	Austronesian	8Lembata		- ˈu dʒ͡a - n	6359.0			
16.0	sout2896-lerek	ˈudʒ͡a krenik	drizzle	Lerek Lamaholot	Austronesian	8Lembata		ˈu dʒ͡a - - _ k r e n i k	6956.0			
17.0	sout2896-lerek	tat ˈbajuŋ	rainbow	Lerek Lamaholot	Austronesian	8Lembata		t a t _ ˈb a j u ŋ	1636.0			
18.0	sout2896-lerek	ˈkləkə	thunder	Lerek Lamaholot	Austronesian	8Lembata		ˈk - l ə k ə - -	1518.0			
19.0	sout2896-lerek	ˈkhilap	lightning	Lerek Lamaholot	Austronesian	8Lembata		ˈkh i l a p	7007.0			
20.0	sout2896-lerek	ˈbredoŋ	earthquake	Lerek Lamaholot	Austronesian	8Lembata		ˈb r e d o ŋ	9997.0			
21.0	sout2896-lerek	ˈkəkan ˈkova	fog	Lerek Lamaholot	Austronesian	8Lembata		ˈk ə k a n _ ˈk o v a	10022.0			
22.0	sout2896-lerek	ˈwei raˈjan	river; stream	Lerek Lamaholot	Austronesian	8Lembata		ˈw e i _ r a ˈj a n	10053.0			
23.0	sout2896-lerek	-	ice	Lerek Lamaholot	Austronesian	8Lembata						
24.0	sout2896-lerek	-	snow	Lerek Lamaholot	Austronesian	8Lembata						
25.0	sout2896-lerek	ˈwai liˈvunan	lake	Lerek Lamaholot	Austronesian	8Lembata		ˈw a i _ l i ˈv u n a n	9901.0			
26.0	sout2896-lerek	ˈiler	mountain	Lerek Lamaholot	Austronesian	8Lembata		ˈi l e r	8285.0			
27.0	sout2896-lerek	ˈwuhun	hill; ridge	Lerek Lamaholot	Austronesian	8Lembata		ˈw u h u n -	5331.0			
28.0	sout2896-lerek	ˈlawor	village	Lerek Lamaholot	Austronesian	8Lembata		ˈl a w o r	9796.0			
29.0	sout2896-lerek	ˈanai	land; soil	Lerek Lamaholot	Austronesian	8Lembata		- ˈa n a i -	3972.0			
30.0	sout2896-lerek	ˈtana ˈekan	Earth	Lerek Lamaholot	Austronesian	8Lembata		ˈt a n - a _ - ˈe k a n	164.0			
