Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
0.0	lama1278	ˈkəlqŋ	sky	Lamaholot-Lewoingu	Austronesian	5Flores, 1East	Glottal stop in word initial position is not phonemic and has not been transcribed in that position. It is phonemic in word medial and final position. There is a phonemic distinction between schwa and e/ɛ and a/ɑ. There is no phonemic distinction between the o-ɔ, e-ɛ and a-ɑ. 	ˈk ə l q ŋ	8757			
1.0	lama1278	ˈləraː	sun	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈl ə r aː	8864			
2.0	lama1278	ˈwula	moon	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈw u l a	8652			
3.0	lama1278	ˈpətala	star	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈp ə t a l a	8977			
4.0	lama1278	rəˈmaʔaŋ	night	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		r ə ˈm a ʔ a ŋ	8905			
5.0	lama1278	lɛˈrɔŋ	day	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		l ɛ ˈr ɔ ŋ - - -	8842			
6.0	lama1278	ˈsuːŋ	year	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈs uː ŋ	7658			
7.0	lama1278	ˈɡuləŋ	morning	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈɡ - u l ə ŋ	8644			
8.0	lama1278	ˈwia	yesterday	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		- - ˈw i a -	8527			
9.0	lama1278	ˈərərəˈwia	day before yesterday	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈə r ə r ə ˈw i a - - - - - - -	8696			
10.0	lama1278	ˈbəta	tomorrow	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈb ə t a -	2141			
11.0	lama1278	ərəˈrua	day after tomorrow	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ə r ə ˈr u a - - - -	8923			
12.0	lama1278	ɛkaŋˈdahɛʔ	twilight; dawn	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ɛ k a ŋ ˈd a h ɛ ʔ	8762			
13.0	lama1278	kɔwa	cloud	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		k ɔ w a	8715			
14.0	lama1278	ˈaŋin	wind	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		- ˈa ŋ i n	8525			
15.0	lama1278	ˈuraŋ	rain	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		- ˈu r a ŋ	8716			
16.0	lama1278	kiteˈritɛŋ	drizzle	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		k i t e ˈr i t ɛ ŋ -	8738			
17.0	lama1278	patuŋ ˈtawa	rainbow	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		p a t u ŋ _ ˈt a w a	8744			
18.0	lama1278	pələˈdə	thunder	Lamaholot-Lewoingu	Austronesian	5Flores, 1East	bunyinya	p ə l ə ˈd ə	8604			
19.0	lama1278	kələˈka kəˈhila	lightning	Lamaholot-Lewoingu	Austronesian	5Flores, 1East	kilatan, cahaya	k ə l ə ˈk a _ k ə ˈh i l a -	8709			
20.0	lama1278	bəˈlero ˈredɔʔ	earthquake	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		b ə ˈl e r o _ ˈr e d ɔ ʔ	8754			
21.0	lama1278	kɔwa lɔdɔʔ	fog	Lamaholot-Lewoingu	Austronesian	5Flores, 1East	awan turun; kabut = fog, NOT embun = air yang menetes dari daun di pagi hari	k ɔ w a _ l ɔ d ɔ ʔ	8774			
22.0	lama1278	ˈluŋuŋ	river; stream	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈl u ŋ u ŋ	8814			
23.0	lama1278	x	ice	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		x	6697			
24.0	lama1278	x	snow	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		x	6405			
25.0	lama1278	danau	lake	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		d a n a u	8932			
26.0	lama1278	ile	mountain	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		- i l e	8700			
27.0	lama1278	wɔka	hill; ridge	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		w ɔ - - k a	4730			
28.0	lama1278	ˈləwɔ	village	Lamaholot-Lewoingu	Austronesian	5Flores, 1East		ˈl ə w ɔ	8682			
