ID,Description,English,Indonesian,Semantic_Field,Elicitation_Notes,Core_Set,Concepticon_ID,Comment
to_bless,,bless,memberkati,Religion and belief,,,391,
leg,,leg,kaki,The body,,,1297,
to_play,,play,main,Emotions and values,,,1413,
knee,,knee,lutut,The body,,,1371,
fat,,fat,lemak,The body,,,323,
forest,,forest,hutan,The physical world,,,420,
monitor_lizard,,monitor lizard,buaya darat; biawak,Animals,,,3017,
seventeen,,seventeen,tujuh belas,Quantity,,,2453,
fish_trap,,fish trap,perangkap ikan,Warfare and hunting,dibuat dari bambu untuk menangkap ikan yang ditinggal. NOT fish net or fish line.,,389,
to_walk,,walk,berjalan,Motion,,,1443,Some word lists may contain elicitations for ‘jalan (kaki)’
sky,,sky,langit,The physical world,,,1732,
thousand,,thousand,seribuh,Quantity,,,1843,
rice_field,,rice field,sawah,Agriculture and vegetation,,,140,
fingernail,,fingernail,kuku,The body,,,1258,
day_before_yesterday,,day before yesterday,kemarin dulu,Time,,,1180,
to_sing,,sing,menyanyi,Speech and language,,,1261,
egg,,egg,telur,Food and drink,,,744,
two,,two,dua,Quantity,,,1498,
to_pound,,pound,tumbuk,Basic actions and technology,,,354,
hole,,hole,lubang,Spatial relations,,,1667,
wall,,wall,dinding,The house,,,933,
arm,,arm,tangan,The body,,,1673,
ten,,ten,sepuluh,Quantity,,,1515,
yesterday,,yesterday,kemarin,Time,,,1174,
pig,,pig,babi,Animals,,,1337,
price,,price,harga,Possession,,,657,
husband,,husband,suami,Kinship,,,1200,
to_give,,give,beri; kasih,Possession,,,1447,
honey,,honey,madu,Food and drink,,,942,
straight,,straight,lurus,Spatial relations,,,1404,
word,,word,kata,Speech and language,,,1599,
woman,,woman,perempuan,Kinship,,,962,
lizard,,tokay gecko,tokek,Animals,A type of lizard that makes a ‘toke’ sound,,2355,
chin,,chin,dagu,The body,,,1510,
gum_tree,,gum tree; eucalyptus,kayu putih,Agriculture and vegetation,"Specifically, that type of tree, not any white wood. Try to probe deeper if a calque of “white tree” is given first.",,3007,
chew_betel,,chew betel,makan sirih,Food and drink,,,3161,
eye,,eye,mata,The body,,,1248,
to_fold,,fold,lipat,Basic actions and technology,,,1470,
grasshopper,,grasshopper,belalang,Animals,,,607,
louse_eggs,,louse eggs,telur kutu kepala,Animals,,,267,
expensive,,expensive,mahal,Possession,,,1426,
knife,,knife,pisau,Basic actions and technology,,,1352,
sister,,sister,saudara perempuan,Kinship,,,1263,
tree,,tree,pohon,Agriculture and vegetation,,,906,
coconut,,coconut,kelapa,Agriculture and vegetation,,,970,
to_eat,,eat,makan,Food and drink,,,1336,
nineteen,,nineteen,sembilan belas,Quantity,,,1714,
to_rub,,rub,gosok,Basic actions and technology,,,1449,
to_come,,come,datang,Motion,,,1446,
clan,,clan,suku,Social and political relations,,,302,
Earth,,Earth,bumi,The physical world,,,965,
tobacco,,tobacco,tembakau,Agriculture and vegetation,,,974,
king_ruler,,"king, ruler",raja,Social and political relations,,,1508,High overlap with ‘chieftain’
brother,,brother,saudara laki-laki,Kinship,,,1262,
to_hold,,hold,pegang,Possession,,,1448,
nose,,nose,hidung,The body,,,1221,
to_hit,,hit,pukul,Basic actions and technology,,,1433,
wave,,wave,ombak,The physical world,,,978,
flea,,flea,kutu anjing,Animals,,,232,
rack_above_hearth,,rack (for storing food) ,para-para,The house,"There may be two types, a high one (for e.g. storage) and a lower one; if so, elicit both.",,3176,
to_flow,,flow,mengalir,Motion,,,2003,
five,,five,lima,Quantity,,,493,
fly,,fly (insect),lalat,Animals,,,1504,
finger,,finger,jari,The body,,,1303,
with,,with,dengan,Miscellaneous function words,,,1340,
to_drop,,drop,kasih jatuh (sesuatu),Motion,menjatuhkan,,750,
why,,why?,mengapa?,Cognition,,,1270,
to_return,,return,balik,Motion,,,142,from Keraf
to_crouch,,squat,jongkok (di w.c.),Motion,"To crouch as on an Indonesian toilet, NOT: to kneel",,3163,
to_dance,,dance,menari,Motion,,,1879,
slave,,slave,budak,Social and political relations,,,812,
older_sibling,,older sibling,kakak,Kinship,,,405,
to_defend,,defend,membela; mempertahankan,Warfare and hunting,,,1330,
