ID,Lect_ID,Concept_ID,Form_according_to_Source,Comment,Source
6072,bima1247,rattan,,"/miro/ found in ABVD, but not found in Ismail (1985)",ismail1985bima
6096,bima1247,cooked_corn,,"/kareɗo, kawendo/ = ""porridge""",ismail1985bima
6564,bima1247,to_flow,,"/taŋgiru/ From ABVD, not Ismail (1985)",ismail1985bima
6565,bima1247,to_flow,,"/rai/ From ABVD, not Ismail (1985)",ismail1985bima
6796,bima1247,rice_grains,,"/wuri/ = ""bulir""",ismail1985bima
6804,bima1247,oven,,"/riha/ means ""kitchen; dapur"" but is probably cognate with other languages",ismail1985bima
11969,ende1246,axe,,"/taka/ = ""hoe"", means ""axe"" in many nearby languages",aokinakagawa1993ende
11991,ende1246,bird,,"/ʔana koɹo, ʔana mbopo, ʔana nake/ = kinds of birds (""ana"" means ""child"")",aokinakagawa1993ende
12022,ende1246,clan,,"/kunu/ is ""a group"", possible used for clans as well",aokinakagawa1993ende
12036,ende1246,conjunctivitis,,"/kaɓi roɓo/ = ""unable to open eyes due to wax""",aokinakagawa1993ende
12096,ende1246,firewood,,probably /kadʒu ʔapi/ (wood + fire),aokinakagawa1993ende
12155,ende1246,honey,,"/ʔero, ʔero ʔani/ = ""bee""; honey is probably /ʔae ʔani/ or /ʔae ero/ (water + bee)",aokinakagawa1993ende
12245,ende1246,nostril,,probably /ɹia ʔiru/ (hole + nose),aokinakagawa1993ende
12393,ende1246,to_choose,,"/piɹi/ = ""to pick up""",aokinakagawa1993ende
20194,keoo1238,burden_stick,,"/ɗoi/ is verb ""to carry something with stick on shoulder""",474568
20370,keoo1238,marriage,,"/fai aki/ ""to marry"", /nika/ ""to marry (loan)""",474568
20545,keoo1238,to_bury,,"/late/ is ""grave, tomb""",474568
20627,keoo1238,to_own,,"/ŋala/ is ""pemilik, owner""",474568
21289,komo1261,cooked_corn,,"/taɓaʔ/ = ""porridge""",112149
21449,komo1261,marriage,,"/tʃampu, nika/ = ""to marry; kawin""",112149
21639,komo1261,to_dance,jogéq,112149,
21756,komo1261,to_trade,,"/toke/ = ""pedagang""",112149
33972,lioo1240,cuscus,,No word for it,fieldwork_lio_wordlist
